"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B06WLJD576","B013OSTD48","Summer Mae Donna Costume da bagno Classico Tankini a Strisce","1","0.03%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WLJD576","B013OSTKN2","Summer Mae Donna Costume da bagno Classico Tankini a Strisce","1","0.03%","1","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD238Y8","B015QZNXXO","Summer Mae Bowknot Costume da bagno Pastorale Stampato a vita alta","3","0.08%","3","0.06%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD238Y8","B015QZRQ0U","Summer Mae Bowknot Costume da bagno Pastorale Stampato a vita alta","1","0.03%","1","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD238Y8","B015QZRSF8","Summer Mae Bowknot Costume da bagno Pastorale Stampato a vita alta","1","0.03%","1","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD238Y8","B015QZRSWG","Summer Mae Bowknot Costume da bagno Pastorale Stampato a vita alta","1","0.03%","1","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD238Y8","B015QZRUJM","Summer Mae Bowknot Costume da bagno Pastorale Stampato a vita alta","1","0.03%","1","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD238Y8","B015QZRV0U","Summer Mae Bowknot Costume da bagno Pastorale Stampato a vita alta","1","0.03%","1","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD238Y8","B015QZRVFK","Summer Mae Bowknot Costume da bagno Pastorale Stampato a vita alta","2","0.05%","2","0.04%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06W2HPWH3","B017X47VLQ","Summer Mae Donna A-linea Vestito Comodo Di Cotone Con Pizzo Fucsia M","4","0.10%","4","0.08%","75%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06W9GKWNW","B01DLSNA3Q","Tankini Mare Piscina Costume da Bagno due Pezzo con Shorts da Donna","1","0.03%","1","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06W9GKWNW","B01DLSNCJI","Tankini Mare Piscina Costume da Bagno due Pezzo con Shorts da Donna","1","0.03%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06W9GKWNW","B01DLSNDLU","Tankini Mare Piscina Costume da Bagno due Pezzo con Shorts da Donna","1","0.03%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06W9GKWNW","B01DLSNDZG","Tankini Mare Piscina Costume da Bagno due Pezzo con Shorts da Donna","1","0.03%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XCRV4CK","B01EJ5VO38","Summer Mae Donna Costumi Da Bagno Dimagrante Solido/Stampa Adorabile Nero EU 40-42","4","0.10%","4","0.08%","25%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XCRV4CK","B01EJ5VPSW","Summer Mae Donna Costumi Da Bagno Dimagrante Solido/Stampa Adorabile Nero EU 42-44","1","0.03%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
